chain	rows	weight_unique_count	weight_min	weight_max	minuslogpost_min	minuslogpost_median	chi2_min	chi2_median
chain01	28520	5	1	5	597.78063	605.1802	1204.1754	1217.542
chain02	28520	4	1	5	597.80759	605.021645	1204.3197	1217.4346
chain03	26600	5	1	5	597.71007	605.36674	1204.5497	1218.07095
chain04	28520	6	1	6	597.44583	605.380235	1203.9647	1218.0109
chain05	28520	5	1	5	597.35804	604.17867	1204.6909	1216.16325
chain06	28520	5	1	5	597.5904	605.236355	1204.8423	1217.8665
chain07	28520	5	1	5	598.12495	605.34882	1203.7272	1218.2984
chain08	28520	5	1	5	597.96838	605.398365	1204.713	1218.2195
chain09	28520	5	1	5	597.89618	605.11434	1203.807	1217.4725
chain10	28520	4	1	4	597.95589	605.302845	1204.4118	1217.93675
