parameter	rhat	rminus1	ess_conservative_sum	per_chain_rows_used	chain_count
ombh2	1.02041394139	0.020413941391	927.303258046	26600	10
omch2	1.01685431159	0.0168543115908	1269.8144618	26600	10
ns	1.0057585601	0.0057585601014	1824.64391838	26600	10
As	1.02823316415	0.0282331641507	1293.37232105	26600	10
tau	1.03516090252	0.035160902524	713.069841051	26600	10
A_planck	1.00803584295	0.00803584295495	626.086817101	26600	10
calib_100T	1.00020227058	0.000202270582103	28911.8919162	26600	10
calib_217T	1.00012562402	0.000125624019336	31862.7120917	26600	10
A_cib_217	1.00049469006	0.000494690055605	9415.55436532	26600	10
xi_sz_cib	1.00046677662	0.000466776618779	13936.1436652	26600	10
A_sz	1.00066204707	0.000662047067674	15119.4592888	26600	10
ksz_norm	1.00122951665	0.00122951664674	6221.42145602	26600	10
gal545_A_100	1.0001193161	0.000119316095191	28625.9382965	26600	10
gal545_A_143	1.00027544148	0.000275441479744	24957.9333282	26600	10
gal545_A_143_217	1.00071051092	0.000710510923362	17897.0264715	26600	10
gal545_A_217	1.00051391041	0.000513910407483	13471.3595972	26600	10
ps_A_100_100	1.00073198401	0.000731984007911	16947.7183984	26600	10
ps_A_143_143	1.00136118195	0.00136118194642	9896.78750484	26600	10
ps_A_143_217	1.00065960508	0.000659605082109	10945.7682923	26600	10
ps_A_217_217	1.00066408844	0.000664088443166	8080.40882116	26600	10
