pair	model_A	model_B	metric	A	B	delta_A_minus_B	pct_delta_vs_B	direction
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	H0	71.15	68.07	3.08	4.52475392978	UP
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	h	0.7115	0.6807	0.0308	4.52475392978	UP
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	omega_b	0.02286	0.02249	0.00037	1.64517563361	UP
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	omega_cdm	0.12999	0.11855	0.01144	9.64993673555	UP
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	Omega_m_computed	0.301936512342	0.304390292583	-0.00245378024074	-0.806129597602	DOWN
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	z_rec_AxiCLASS	1089.21047794	1088.54796089	0.662517045669	0.0608624580148	UP
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	rs_rec_Mpc_AxiCLASS	138.910106248	144.811570382	-5.90146413402	-4.07527113922	DOWN
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	sigma8_AxiCLASS	0.831367176897	0.807172795542	0.0241943813552	2.99742279334	UP
Ivanov_EDE_minus_Ivanov_LCDM	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	S8_AxiCLASS	0.834046115351	0.8130575518	0.0209885635514	2.58143639463	UP
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	H0	72.9	68.07	4.83	7.09563684442	UP
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	h	0.729	0.6807	0.0483	7.09563684442	UP
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	omega_b	0.0244	0.02249	0.00191	8.49266340596	UP
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	omega_cdm	0.127	0.11855	0.00845	7.12779417967	UP
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	Omega_m_computed	0.284885810466	0.304390292583	-0.0195044821164	-6.40772146539	DOWN
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	z_rec_AxiCLASS	1087.41947307	1088.54796089	-1.12848782012	-0.103669095039	DOWN
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	rs_rec_Mpc_AxiCLASS	139.089717864	144.811570382	-5.72185251808	-3.95123987883	DOWN
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	sigma8_AxiCLASS	0.822901815039	0.807172795542	0.0157290194971	1.94865580009	UP
Fujiki_DTI_minus_Ivanov_LCDM	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_LCDM_comparison_AxiCLASS_FIX1	S8_AxiCLASS	0.801904779823	0.8130575518	-0.0111527719765	-1.37170756877	DOWN
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	H0	72.9	71.15	1.75	2.4595924104	UP
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	h	0.729	0.7115	0.0175	2.4595924104	UP
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	omega_b	0.0244	0.02286	0.00154	6.73665791776	UP
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	omega_cdm	0.127	0.12999	-0.00299	-2.30017693669	DOWN
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	Omega_m_computed	0.284885810466	0.301936512342	-0.0170507018757	-5.64711493267	DOWN
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	z_rec_AxiCLASS	1087.41947307	1089.21047794	-1.79100486579	-0.164431476015	DOWN
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	rs_rec_Mpc_AxiCLASS	139.089717864	138.910106248	0.179611615934	0.129300610866	UP
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	sigma8_AxiCLASS	0.822901815039	0.831367176897	-0.00846536185814	-1.01824585976	DOWN
Fujiki_DTI_minus_Ivanov_EDE	Fujiki_DTI_candidate_AxiCLASS_FIX1	Ivanov_EDE_bestfit_AxiCLASS_FIX1	S8_AxiCLASS	0.801904779823	0.834046115351	-0.0321413355279	-3.8536640764	DOWN
