record_index	target_id	H0	omega_b	omega_cdm	chi2	loglike	rdrag_Mpc	delta_chi2_from_recorded_minimum	optimizer_success	classification	source_class	is_recorded_minimum	is_recorded_upper_endpoint	claim_scope
1	H0_59_5	59.5	0.011406266845916663	0.09313643291937208	10.285536871724245	-5.142768435862123	170.6724669304443	0.00742744030663367	YES	CONVERGED	NEW_RANGE_EXTENSION_OPTIMIZATION	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
2	H0_60_5	60.5	0.012535758554821131	0.0955758469187502	10.285057378749368	-5.142528689374684	167.85112691480322	0.00694794733175641	YES	CONVERGED	NEW_RANGE_EXTENSION_OPTIMIZATION	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
3	H0_61_5	61.5	0.013686023114137198	0.09805497581453951	10.284601182421959	-5.142300591210979	165.12133296148667	0.006491751004347179	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
4	H0_62_5	62.5	0.0148547257913011	0.10057489889991161	10.284166995142703	-5.142083497571352	162.47872238577688	0.006057563725091697	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
5	H0_63_5	63.5	0.016039228373371826	0.10313837444830669	10.283753349742334	-5.141876674871167	159.9195446027112	0.005643918324722108	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
6	H0_64_5	64.5	0.01723749158660386	0.10574731022936987	10.283359051395303	-5.1416795256976515	157.43991137460395	0.0052496199776914665	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
7	H0_65_5	65.5	0.01844806259012873	0.10840446218580835	10.282982819757667	-5.141491409878833	155.0356034251847	0.004873388340055129	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
8	H0_66_5	66.5	0.01966934425894617	0.11110913842658539	10.282623679632087	-5.141311839816043	152.70400703662432	0.004514248214475103	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
9	H0_67_32117	67.32117	0.02067924004967443	0.11336868338976736	10.282340710817206	-5.141170355408603	150.84085475636192	0.004231279399594001	YES	FROZEN_CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
10	H0_68_8315	68.8315	0.022551026713804524	0.11761353064647184	10.281846735984782	-5.140923367992391	147.5306356406443	0.003737304567170696	YES	FROZEN_CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
11	H0_69_5	69.5	0.02338474919508677	0.11953017343632347	10.281638420975543	-5.140819210487772	146.11140841318613	0.0035289895579317943	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
12	H0_70_5	70.5	0.024636788518799767	0.12244263959942611	10.281337774450765	-5.140668887225383	144.03862566808328	0.003228343033153891	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
13	H0_71_5	71.5	0.02589415263448667	0.12540955361156975	10.281049980201239	-5.140524990100619	142.02376375902102	0.0029405487836271504	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
14	H0_72_5	72.5	0.02715606167854629	0.12843095402875235	10.28077400176954	-5.14038700088477	140.06457230218214	0.0026645703519285746	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
15	H0_73_0	73.0	0.02778851669294609	0.12996283539176134	10.280640261044852	-5.140320130522426	139.10499553523115	0.002530829627239939	YES	FROZEN_CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
16	H0_74_0	74.0	0.029055807859068347	0.1330677805827139	10.280381007241267	-5.140190503620634	137.22506588668676	0.0022715758236557804	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
17	H0_75_0	75.0	0.03032598314491785	0.13622966452459773	10.28013210541718	-5.14006605270859	135.39516468524812	0.0020226739995692355	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
18	H0_76_0	76.0	0.03159835869110374	0.13944969021344725	10.279893068264203	-5.139946534132101	133.61327887297068	0.0017836368465911079	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
19	H0_77_0	77.0	0.03287246661475314	0.14272641743908188	10.279663278805995	-5.139831639402997	131.87786796305264	0.001553847388382934	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
20	H0_78_0	78.0	0.03414766832391095	0.1460615006549899	10.279442450442346	-5.139721225221173	130.18699269456835	0.001333019024734483	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
21	H0_79_0	79.0	0.03542362777965641	0.14945601289150423	10.279229822241001	-5.139614911120501	128.53880532134926	0.001120390823389883	YES	CONVERGED	PRIOR_FROZEN_NINETEEN_POINT	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
22	H0_80_0	80.0	0.036699742371072375	0.15290975705648097	10.27902542793274	-5.13951271396637	126.9318924511667	0.0009159965151290805	YES	CONVERGED	NEW_RANGE_EXTENSION_OPTIMIZATION	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
23	H0_81_0	81.0	0.03797584791534436	0.15642262588449324	10.278828499144435	-5.1394142495722175	125.36468026719876	0.0007190677268233969	YES	CONVERGED	NEW_RANGE_EXTENSION_OPTIMIZATION	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
24	H0_82_0	82.0	0.03925144864366245	0.15999546614581303	10.278638735379117	-5.139319367689558	123.8357183784568	0.0005293039615050787	YES	CONVERGED	BOUNDED_HIGH_H0_EXTENSION	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
25	H0_83_0	83.0	0.04052628867135703	0.1636291261414864	10.278455884406755	-5.1392279422033775	122.34346156169266	0.00034645298914348643	YES	CONVERGED	BOUNDED_HIGH_H0_EXTENSION	NO	NO	RECORDED_CONDITIONAL_POINT_ONLY
