key	value
decision	FIXED_H0_BAO_R1_BOUNDED_PROFILE_GRID_DESIGN_V1_PASS
classification	DESIGN_ONLY_NO_PROFILE_EXECUTION
source_final_point_count	27
source_H0_min	59.5
source_H0_max	85.0
proposed_primary_grid	H0=60.0_to_85.0_step_0.5
proposed_primary_grid_point_count	51
mandatory_anchor_points	59.5,60.5,67.32117,68.8315,73.0,81.0
conditional_anchor_points	82.0,83.0,84.0,85.0_if_available
free_parameters	omega_b,omega_cdm
omega_b_domain	0.007_to_0.05
omega_cdm_domain	0.035_to_0.23
optimizer_primary	Nelder-Mead
optimizer_crosscheck	Powell_or_second_Nelder_Mead_start_DESIGN_ONLY
warm_start_rule	nearest_lower_H0_converged_point_only
independent_start_rule	every_fifth_grid_point_requires_independent_start
failure_rule	no_silent_interpolation_no_missing_point_substitution
retry_rule	one_predeclared_retry_maximum_with_fixed_alternative_start
boundary_rule	boundary_hit_disqualifies_continuous_profile_claim
completion_rule	shape_assessment_only_after_all_required_points_resolved
continuous_profile_likelihood_claim	NO_UNTIL_EXECUTION_AND_REVIEW
profile_execution	NO
posterior_compute	NO
MCMC	NO
