key	value
asset_schema_version	FIXED_H0_BAO_R1_APP_ASSET_V1
source_root	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_FIXED_H0_BAO_R1_DOMAIN_REPEATABILITY_EXTENSION_PROFILE_MASTER_V1_20260712_124313
source_zip	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/FIXED_H0_BAO_R1_DOMAIN_REPEATABILITY_EXTENSION_PROFILE_MASTER_V1_20260712_124313.zip
source_zip_sha256	fbcc972f99283208d52a79efa8f4a17a04f071fed8b22cffdf5f9117d746f2cc
source_master_json	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_FIXED_H0_BAO_R1_DOMAIN_REPEATABILITY_EXTENSION_PROFILE_MASTER_V1_20260712_124313/decision/MASTER_RESULT.json
source_final_points	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_FIXED_H0_BAO_R1_DOMAIN_REPEATABILITY_EXTENSION_PROFILE_MASTER_V1_20260712_124313/gate4_extension_execution/FINAL_ACCEPTED_POINT_COMPARISON.tsv
source_repeatability	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_FIXED_H0_BAO_R1_DOMAIN_REPEATABILITY_EXTENSION_PROFILE_MASTER_V1_20260712_124313/gate2_repeatability/REPEATABILITY_AND_TOLERANCE_SUMMARY.tsv
source_profile_design	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_FIXED_H0_BAO_R1_DOMAIN_REPEATABILITY_EXTENSION_PROFILE_MASTER_V1_20260712_124313/gate5_profile_grid_design/PROFILE_GRID_DESIGN.tsv
repo_observed	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_SECTION7C_CONTINUITY_EXAMINER_CLONE_20260525_124307/dti-real-app-v606-section7c-continuity-examiner
app_py_observed	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_SECTION7C_CONTINUITY_EXAMINER_CLONE_20260525_124307/dti-real-app-v606-section7c-continuity-examiner/app.py
app_py_sha256_before	9615e12e50aa44b6fe15e8edbebd9bbf283bdf14cdfcdfaaac2ce208b2bb111e
git_head_before	9f4f99d4167a4852c4ec752a1590e16061fab309
origin_main_before	9f4f99d4167a4852c4ec752a1590e16061fab309
future_asset_relative_dir	assets/fixed_h0_bao_r1/v1
future_loader_relative_path	dti_fixed_h0_bao_r1_loader_v1.py
app_py_modify	NO
repo_asset_write	NO
git_mutation	NO
public_update	NO
