position	header_token	raw_value	adopted_float_value	numeric_adoption	likelihood_use	posterior_use	claim_use
1	weight	1	1.0	YES_TABLE_ONLY	NO	NO	NO
2	minuslogpost	12.018652	12.018652	YES_TABLE_ONLY	NO	NO	NO
3	hrdrag	101.54786	101.54786	YES_TABLE_ONLY	NO	NO	NO
4	omm	0.29717787	0.29717787	YES_TABLE_ONLY	NO	NO	NO
5	As	2.0821789e-09	2.0821789e-09	YES_TABLE_ONLY	NO	NO	NO
6	omch2	0.11182639	0.11182639	YES_TABLE_ONLY	NO	NO	NO
7	omegam	0.29717936	0.29717936	YES_TABLE_ONLY	NO	NO	NO
8	omegamh2	0.13484126	0.13484126	YES_TABLE_ONLY	NO	NO	NO
9	omegal	0.70274102	0.70274102	YES_TABLE_ONLY	NO	NO	NO
10	zrei	7.5415403	7.5415403	YES_TABLE_ONLY	NO	NO	NO
11	YHe	0.24539541	0.24539541	YES_TABLE_ONLY	NO	NO	NO
12	Y_p	0.2467254	0.2467254	YES_TABLE_ONLY	NO	NO	NO
13	DHBBN	2.5855788	2.5855788	YES_TABLE_ONLY	NO	NO	NO
14	A	2.0821789	2.0821789	YES_TABLE_ONLY	NO	NO	NO
15	clamp	1.8675266	1.8675266	YES_TABLE_ONLY	NO	NO	NO
16	age	14.026193	14.026193	YES_TABLE_ONLY	NO	NO	NO
17	rdrag	150.75395	150.75395	YES_TABLE_ONLY	NO	NO	NO
18	zdrag	1059.3375	1059.3375	YES_TABLE_ONLY	NO	NO	NO
19	H0rdrag	10154.786	10154.786	YES_TABLE_ONLY	NO	NO	NO
20	chi2__BAO	10.282299	10.282299	YES_TABLE_ONLY	NO	NO	NO
21	minuslogprior	6.8775022	6.8775022	YES_TABLE_ONLY	NO	NO	NO
22	minuslogprior__0	6.8775022	6.8775022	YES_TABLE_ONLY	NO	NO	NO
23	chi2	10.282299	10.282299	YES_TABLE_ONLY	NO	NO	NO
24	chi2__desi_y3_cosmo_bindings.cobaya_likelihoods.bao_likelihoods_v1p2.desi_bao_all	10.282299	10.282299	YES_TABLE_ONLY	NO	NO	NO
