summary_field	header_token	raw_value	adopted_float_value	diagnostic_use	likelihood_use	claim_use
minuslogpost	minuslogpost	12.018652	12.018652	DESCRIPTIVE_ONLY	NO	NO
hrdrag	hrdrag	101.54786	101.54786	DESCRIPTIVE_ONLY	NO	NO
omm	omm	0.29717787	0.29717787	DESCRIPTIVE_ONLY	NO	NO
omch2	omch2	0.11182639	0.11182639	DESCRIPTIVE_ONLY	NO	NO
omegam	omegam	0.29717936	0.29717936	DESCRIPTIVE_ONLY	NO	NO
omegamh2	omegamh2	0.13484126	0.13484126	DESCRIPTIVE_ONLY	NO	NO
rdrag	rdrag	150.75395	150.75395	DESCRIPTIVE_ONLY	NO	NO
zdrag	zdrag	1059.3375	1059.3375	DESCRIPTIVE_ONLY	NO	NO
H0rdrag	H0rdrag	10154.786	10154.786	DESCRIPTIVE_ONLY	NO	NO
chi2__BAO	chi2__BAO	10.282299	10.282299	DESCRIPTIVE_ONLY	NO	NO
chi2	chi2	10.282299	10.282299	DESCRIPTIVE_ONLY	NO	NO
chi2__desi_y3_cosmo_bindings.cobaya_likelihoods.bao_likelihoods_v1p2.desi_bao_all	chi2__desi_y3_cosmo_bindings.cobaya_likelihoods.bao_likelihoods_v1p2.desi_bao_all	10.282299	10.282299	DESCRIPTIVE_ONLY	NO	NO
