key	value
embedded_package_status	CREATED_NOT_PUBLIC
source_plan	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_EMBEDDED_POSTERIOR_PACKAGE_PLAN_V1_20260606_090205
source_freeze_review	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_OFFLINE_CHAIN_FREEZE_AND_BOUNDARY_REVIEW_V1_20260606_085633
source_frozen_chain	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_OFFLINE_CHAIN_FREEZE_AND_BOUNDARY_REVIEW_V1_20260606_085633/package/frozen_chain
source_lock	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SOURCE_OF_RECORD_LOCK_V1_20260605_185411
contract	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_INPUT_CONTRACT_FREEZE_V1_20260605_184927
payload_source	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_OFFLINE_CHAIN_FREEZE_AND_BOUNDARY_REVIEW_V1_20260606_085633/package/frozen_chain/report/posterior_payload_not_for_public_display.json
summary_source	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_OFFLINE_CHAIN_FREEZE_AND_BOUNDARY_REVIEW_V1_20260606_085633/package/frozen_chain/report/chain_summary.tsv
diagnostics_source	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_OFFLINE_CHAIN_FREEZE_AND_BOUNDARY_REVIEW_V1_20260606_085633/package/frozen_chain/report/diagnostics.tsv
bestfit_source	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_DTI_REAL_DATA_BAO_SDSS_DR16COSMO_OFFLINE_CHAIN_FREEZE_AND_BOUNDARY_REVIEW_V1_20260606_085633/package/frozen_chain/report/map_or_bestfit.tsv
public_app_update	NO
posterior_public_display	NO
manuscript_update	NO
physics_validation	NO
planck_likelihood	NO
