row_index	z	observable	mean_value	model_value	residual_model_minus_mean	case_id	H0	scf_parameters_0
1	0.295	DV_over_rs	7.94167639	8.25262789578	0.3109515057800003	S003	67.0	0.05
2	0.51	DM_over_rs	13.58758434	13.797304782	0.20972044200000006	S003	67.0	0.05
3	0.51	DH_over_rs	21.86294686	22.95354572	1.09059886	S003	67.0	0.05
4	0.706	DM_over_rs	17.35069094	18.0224468	0.6717558600000011	S003	67.0	0.05
5	0.706	DH_over_rs	19.45534918	20.222097177	0.7667479969999995	S003	67.0	0.05
6	0.934	DM_over_rs	21.57563956	22.314701344	0.7390617840000004	S003	67.0	0.05
7	0.934	DH_over_rs	17.64149464	17.511027392	-0.1304672480000022	S003	67.0	0.05
8	1.321	DM_over_rs	27.60085612	28.360542551	0.7596864310000022	S003	67.0	0.05
9	1.321	DH_over_rs	14.17602155	13.926162489	-0.24985906100000044	S003	67.0	0.05
10	1.484	DM_over_rs	30.51190063	30.530757917	0.018857286999999445	S003	67.0	0.05
11	1.484	DH_over_rs	12.81699964	12.728957566	-0.08804207400000053	S003	67.0	0.05
12	2.33	DH_over_rs	8.631545674846294	8.469231849	-0.16231382584629372	S003	67.0	0.05
13	2.33	DM_over_rs	38.988973961958784	39.30714563	0.31817166804121655	S003	67.0	0.05
