chain	parameter	draws	unique_values	changed_steps	change_ratio_proxy	longest_constant_run
CHAIN01	H0	119	6	5	0.0423728813559322	53
CHAIN01	f_ede	119	6	5	0.0423728813559322	53
CHAIN01	log10_z_c	119	6	5	0.0423728813559322	53
CHAIN01	Omega_m	119	6	5	0.0423728813559322	53
CHAIN01	sigma8	119	6	5	0.0423728813559322	53
CHAIN02	H0	348	11	10	0.02881844380403458	106
CHAIN02	f_ede	348	11	10	0.02881844380403458	106
CHAIN02	log10_z_c	348	11	10	0.02881844380403458	106
CHAIN02	Omega_m	348	11	10	0.02881844380403458	106
CHAIN02	sigma8	348	11	10	0.02881844380403458	106
CHAIN03	H0	381	2	1	0.002631578947368421	353
CHAIN03	f_ede	381	2	1	0.002631578947368421	353
CHAIN03	log10_z_c	381	2	1	0.002631578947368421	353
CHAIN03	Omega_m	381	2	1	0.002631578947368421	353
CHAIN03	sigma8	381	2	1	0.002631578947368421	353
CHAIN04	H0	493	7	6	0.012195121951219513	175
CHAIN04	f_ede	493	7	6	0.012195121951219513	175
CHAIN04	log10_z_c	493	7	6	0.012195121951219513	175
CHAIN04	Omega_m	493	7	6	0.012195121951219513	175
CHAIN04	sigma8	493	7	6	0.012195121951219513	175
CHAIN05	H0	479	6	5	0.010460251046025104	283
CHAIN05	f_ede	479	6	5	0.010460251046025104	283
CHAIN05	log10_z_c	479	6	5	0.010460251046025104	283
CHAIN05	Omega_m	479	6	5	0.010460251046025104	283
CHAIN05	sigma8	479	6	5	0.010460251046025104	283
CHAIN06	H0	434	7	6	0.013856812933025405	212
CHAIN06	f_ede	434	7	6	0.013856812933025405	212
CHAIN06	log10_z_c	434	7	6	0.013856812933025405	212
CHAIN06	Omega_m	434	7	6	0.013856812933025405	212
CHAIN06	sigma8	434	7	6	0.013856812933025405	212
CHAIN07	H0	535	8	7	0.013108614232209739	109
CHAIN07	f_ede	535	8	7	0.013108614232209739	109
CHAIN07	log10_z_c	535	8	7	0.013108614232209739	109
CHAIN07	Omega_m	535	8	7	0.013108614232209739	109
CHAIN07	sigma8	535	8	7	0.013108614232209739	109
CHAIN08	H0	487	4	3	0.006172839506172839	325
CHAIN08	f_ede	487	4	3	0.006172839506172839	325
CHAIN08	log10_z_c	487	4	3	0.006172839506172839	325
CHAIN08	Omega_m	487	4	3	0.006172839506172839	325
CHAIN08	sigma8	487	4	3	0.006172839506172839	325
CHAIN09	H0	480	9	8	0.016701461377870562	105
CHAIN09	f_ede	480	9	8	0.016701461377870562	105
CHAIN09	log10_z_c	480	9	8	0.016701461377870562	105
CHAIN09	Omega_m	480	9	8	0.016701461377870562	105
CHAIN09	sigma8	480	9	8	0.016701461377870562	105
CHAIN10	H0	395	10	9	0.02284263959390863	103
CHAIN10	f_ede	395	10	9	0.02284263959390863	103
CHAIN10	log10_z_c	395	10	9	0.02284263959390863	103
CHAIN10	Omega_m	395	10	9	0.02284263959390863	103
CHAIN10	sigma8	395	10	9	0.02284263959390863	103
