chain	cluster	draws	first25_middle50_distance	middle50_last25_distance	first25_last25_distance	H0_first25	H0_last25
CHAIN01	3	119	0.9079169625968775	0.26761097378638743	1.1741806114604068	68.38046965517243	69.33786466666668
CHAIN02	1	348	0.3379936820096416	0.30890134066707636	0.25656216390302133	67.60042712643681	67.73278000000003
CHAIN03	1	381	0.09013288452848803	1.4218225378524858e-14	0.09013288452850222	66.9478314736842	67.03785000000002
CHAIN04	1	493	0.5817669927703262	0.4031495317293593	0.7490865498914036	67.03399764227643	67.72744999999999
CHAIN05	2	479	0.08422802810482889	0.15600734815500433	0.2382471243019875	68.71308176470589	68.489155
CHAIN06	1	434	0.5517979224267081	0.21970882397531288	0.7430765546081949	67.25590898148147	67.95633
CHAIN07	2	535	0.7870840007376685	0.07303142029493147	0.855510034024365	67.46533939849625	68.04033313432836
CHAIN08	2	487	0.3224766083913844	0.10264998489511515	0.4236944788623341	67.80523074380163	68.21402999999998
CHAIN09	2	480	0.8974549968708523	0.6535131139352073	0.4705424098334933	68.64467566666666	68.29485566666668
CHAIN10	2	395	0.669703569991643	0.4817823570093655	1.1514200805445223	67.9771424489796	69.11115454545454
