key	value
decision	R3_RECORDS_FINAL_FREEZE_CREATED
r3_design	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RESTRICTED_SCAN_DESIGN_20260703_003142
r3_execution	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RESTRICTED_SCAN_EXECUTION_20260703_004019
r3_record_summary	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RESTRICTED_SCAN_RECORD_SUMMARY_20260703_004319
r3_two_group_alpha_micro_audit	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_TWO_GROUP_ALPHA_DIFFERENCE_MICRO_AUDIT_20260703_004918
r3_formula_reconciliation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RECONCILE_TWO_GROUP_ALPHA_FORMULA_ONLY_20260703_032954
common_rs_147_none_delta_min	-835.825088
common_rs_147_none_delta_max	-835.596151
common_rs_147_none_preference	NEG_H67_FAVORED
native_global_alpha_delta_min	8.233109
native_global_alpha_delta_max	8.236931
native_global_alpha_preference	POS_H726_FAVORED
native_none_delta_min	11.652380
native_none_delta_max	11.703181
native_none_preference	POS_H726_FAVORED
native_two_group_alpha_proxy_delta_min	4.194414
native_two_group_alpha_proxy_delta_max	4.196145
native_two_group_alpha_proxy_preference	POS_H726_FAVORED
old_two_group_alpha_proxy_delta_min	4.134780
old_two_group_alpha_proxy_delta_max	4.136485
two_group_delta_min_difference	0.059635
two_group_delta_max_difference	0.059660
qualitative_preference_unchanged	YES
formula_conclusion	FORMULA_DETAIL_COMPARISON_RECORDED
claim_promotion	NO
likelihood_claim	NO
posterior	NO
MCMC	NO
K2_claim	NO
manuscript_claim	NO
public_scientific_claim	NO
app_py_modify	NO
git_add	NO
git_commit	NO
git_push	NO
public_update	NO
pointer_promotion	NO
recommended_next	STOP
