case_id	H0	scf_parameters_0	rs_drag	rs_mode	alpha_mode	quadratic_value	alpha_global	alpha_non_DH	alpha_DH	row_order_contract_sha256	boundary_flag
S001	67.0	0.048	142.882264409	native	none	91.18000480574314	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S001	67.0	0.048	142.882264409	common_rs_147	none	56.00240687281403	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S001	67.0	0.048	142.882264409	native	global_alpha	44.13641545877199	0.9813531714078576			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S001	67.0	0.048	142.882264409	native	two_group_alpha_proxy	29.251650855903154		0.9710913656959109	0.9995674205331022	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S002	67.0	0.049	142.881970189	native	none	91.17842156681259	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S002	67.0	0.049	142.881970189	common_rs_147	none	56.0167878504405	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S002	67.0	0.049	142.881970189	native	global_alpha	44.14215132929787	0.9813545945646301			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S002	67.0	0.049	142.881970189	native	two_group_alpha_proxy	29.254544335224203		0.9710917780774068	0.999570698169911	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S003	67.0	0.05	142.881667507	native	none	91.17688565570315	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S003	67.0	0.05	142.881667507	common_rs_147	none	56.03147573040462	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S003	67.0	0.05	142.881667507	native	global_alpha	44.1480085664127	0.9813560322300504			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S003	67.0	0.05	142.881667507	native	two_group_alpha_proxy	29.257498985773587		0.971092183824053	0.9995740291314645	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S004	67.0	0.051	142.881359882	native	none	91.17527841447672	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S004	67.0	0.051	142.881359882	common_rs_147	none	56.04646422910029	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S004	67.0	0.051	142.881359882	native	global_alpha	44.153984640401525	0.9813575069993021			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S004	67.0	0.051	142.881359882	native	two_group_alpha_proxy	29.260513561422073		0.9710926057503438	0.999577435601275	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S005	67.0	0.052	142.881046522	native	none	91.1736280152449	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S005	67.0	0.052	142.881046522	common_rs_147	none	56.061753559655976	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S005	67.0	0.052	142.881046522	native	global_alpha	44.16007961334806	0.9813590134127328			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S005	67.0	0.052	142.881046522	native	two_group_alpha_proxy	29.263588082060878		0.9710930384449	0.9995809120343699	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S006	72.6	0.048	137.604058834	native	none	79.47682374174913	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S006	72.6	0.048	137.604058834	common_rs_147	none	891.5985575426398	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S006	72.6	0.048	137.604058834	native	global_alpha	35.90330597184017	1.0186269686858527			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S006	72.6	0.048	137.604058834	native	two_group_alpha_proxy	25.057236751786714		1.0095639516707982	1.034635144436654	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S007	72.6	0.049	137.60377287	native	none	79.48761761925772	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S007	72.6	0.049	137.60377287	common_rs_147	none	891.6684886002698	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S007	72.6	0.049	137.60377287	native	global_alpha	35.908118857552886	1.018628271194015			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S007	72.6	0.049	137.60377287	native	two_group_alpha_proxy	25.059712423915588		1.0095642418478112	1.0346382810417283	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S008	72.6	0.05	137.60347893	native	none	79.49861245175467	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S008	72.6	0.05	137.60347893	common_rs_147	none	891.7400288151241	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S008	72.6	0.05	137.60347893	native	global_alpha	35.91304276957655	1.0186295932012523			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S008	72.6	0.05	137.60347893	native	two_group_alpha_proxy	25.062245186934618		1.0095645283699821	1.0346414791219694	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S009	72.6	0.051	137.603181548	native	none	79.50978547678415	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S009	72.6	0.051	137.603181548	common_rs_147	none	891.8125752017636	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S009	72.6	0.051	137.603181548	native	global_alpha	35.91803619663623	1.0186309387818568			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S009	72.6	0.051	137.603181548	native	two_group_alpha_proxy	25.064813643021346		1.009564823888635	1.0346447271874712	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S010	72.6	0.052	137.602877827	native	none	79.52124775970225	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S010	72.6	0.052	137.602877827	common_rs_147	none	891.8868419761174	1.0			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S010	72.6	0.052	137.602877827	native	global_alpha	35.92314833563939	1.0186323214011364			416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
S010	72.6	0.052	137.602877827	native	two_group_alpha_proxy	25.06744315232765		1.0095651315560992	1.0346480574073262	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d	diagnostic_only
