scf_parameters_0	rs_mode	alpha_mode	q_H67	q_H726	delta_H67_minus_H726	branch_preference	boundary_flag
0.048	common_rs_147	none	56.00240687281403	891.5985575426398	-835.5961506698258	NEG_H67_FAVORED	diagnostic_only
0.049	common_rs_147	none	56.0167878504405	891.6684886002698	-835.6517007498293	NEG_H67_FAVORED	diagnostic_only
0.05	common_rs_147	none	56.03147573040462	891.7400288151241	-835.7085530847195	NEG_H67_FAVORED	diagnostic_only
0.051	common_rs_147	none	56.04646422910029	891.8125752017636	-835.7661109726633	NEG_H67_FAVORED	diagnostic_only
0.052	common_rs_147	none	56.061753559655976	891.8868419761174	-835.8250884164614	NEG_H67_FAVORED	diagnostic_only
0.048	native	global_alpha	44.13641545877199	35.90330597184017	8.233109486931824	POS_H726_FAVORED	diagnostic_only
0.049	native	global_alpha	44.14215132929787	35.908118857552886	8.234032471744982	POS_H726_FAVORED	diagnostic_only
0.05	native	global_alpha	44.1480085664127	35.91304276957655	8.23496579683615	POS_H726_FAVORED	diagnostic_only
0.051	native	global_alpha	44.153984640401525	35.91803619663623	8.235948443765295	POS_H726_FAVORED	diagnostic_only
0.052	native	global_alpha	44.16007961334806	35.92314833563939	8.23693127770867	POS_H726_FAVORED	diagnostic_only
0.048	native	none	91.18000480574314	79.47682374174913	11.703181063994009	POS_H726_FAVORED	diagnostic_only
0.049	native	none	91.17842156681259	79.48761761925772	11.690803947554869	POS_H726_FAVORED	diagnostic_only
0.05	native	none	91.17688565570315	79.49861245175467	11.678273203948478	POS_H726_FAVORED	diagnostic_only
0.051	native	none	91.17527841447672	79.50978547678415	11.665492937692576	POS_H726_FAVORED	diagnostic_only
0.052	native	none	91.1736280152449	79.52124775970225	11.652380255542653	POS_H726_FAVORED	diagnostic_only
0.048	native	two_group_alpha_proxy	29.251650855903154	25.057236751786714	4.19441410411644	POS_H726_FAVORED	diagnostic_only
0.049	native	two_group_alpha_proxy	29.254544335224203	25.059712423915588	4.194831911308615	POS_H726_FAVORED	diagnostic_only
0.05	native	two_group_alpha_proxy	29.257498985773587	25.062245186934618	4.195253798838969	POS_H726_FAVORED	diagnostic_only
0.051	native	two_group_alpha_proxy	29.260513561422073	25.064813643021346	4.195699918400727	POS_H726_FAVORED	diagnostic_only
0.052	native	two_group_alpha_proxy	29.263588082060878	25.06744315232765	4.196144929733226	POS_H726_FAVORED	diagnostic_only
