z_transition,width,fractional_H_step,replicates,compressed_post_signal_snr,compressed_pre_signal_snr,point_sample_signal_snr,compression_attenuation,post_to_pre_snr_ratio,global_3sigma_detection_fraction,detected_and_located_fraction,location_success_given_detection,median_recovered_z,median_recovered_width,median_recovered_fractional_H_step
0.51,0.005,0.005,1000,0.21324339248020246,0.21324339248020246,0.19231036894503906,1.1088502073496926,1.0,0.001,0.001,1.0,0.5,0.15,0.12075863443678775
0.51,0.005,0.01,1000,0.4137393594980125,0.4137393594980125,0.3824952921799654,1.0816848415047855,1.0,0.005,0.0,0.0,1.7,0.005,0.4241053392698525
0.51,0.005,0.02,1000,0.7677940286427697,0.7677940286427697,0.756626335410598,1.0147598526637476,1.0,0.005,0.002,0.4,0.65,0.15,0.12022053230665114
0.51,0.005,0.05,1000,1.8783337397358464,1.8783337397358464,1.8314594921544025,1.0255939308416284,1.0,0.067,0.039,0.582089552238806,0.5,0.03,0.1210110202675167
0.51,0.005,0.1,1000,3.644820803481489,3.6566658375082324,3.47854820405333,1.0477994236890011,0.9967607009901636,0.574,0.497,0.8658536585365854,0.55,0.03,0.1271864087369915
0.51,0.005,0.2,1000,6.379352445006286,17.074438598025832,6.320425589138616,1.0093232417717144,0.3736200407633827,0.999,0.958,0.958958958958959,0.55,0.005,0.16185996231375538
0.51,0.03,0.005,1000,0.20304162300741174,0.20304162300741174,0.18962976861115685,1.0707265240815456,1.0,0.001,0.0,0.0,1.15,0.005,-0.08400997024431799
0.51,0.03,0.01,1000,0.39544727804256596,0.39544727804256596,0.37717493886298525,1.0484452631838788,1.0,0.005,0.0,0.0,0.75,0.15,0.11542176957972958
0.51,0.03,0.02,1000,0.7573133329319214,0.7573133329319214,0.7461459182195462,1.0149667972975351,1.0,0.006,0.001,0.16666666666666666,0.75,0.005,0.1087487251621321
0.51,0.03,0.05,1000,1.838263428983856,1.838263428983856,1.8064017493151183,1.017638202399227,1.0,0.064,0.044,0.6875,0.55,0.03,0.11694910672355052
0.51,0.03,0.1,1000,3.564247039403544,3.5750455973765782,3.431888935013519,1.0385671293262595,0.996979462868681,0.51,0.439,0.8607843137254902,0.5,0.005,0.12327069975086302
0.51,0.03,0.2,1000,5.718674907056653,17.223755370915203,6.238736780830524,0.9166398756601111,0.3320225342211642,0.974,0.883,0.9065708418891171,0.5,0.15,0.1663481630191357
0.51,0.15,0.005,1000,0.17258510617350564,0.17258510617350564,0.16299380925572796,1.0588445472964527,1.0,0.002,0.001,0.5,0.95,0.005,-0.0002924613978970217
0.51,0.15,0.01,1000,0.3344911004292887,0.33288971205529866,0.32429657787907445,1.0314358005776294,1.004810567332054,0.004,0.003,0.75,0.525,0.15,0.11791528692327033
0.51,0.15,0.02,1000,0.6601184331761206,0.6601184331761206,0.6419331311292413,1.028328966312876,1.0,0.008,0.003,0.375,1.05,0.005,0.10182894224845612
0.51,0.15,0.05,1000,1.585404366943027,1.585404366943027,1.556873896872653,1.0183254855307706,1.0,0.037,0.03,0.8108108108108109,0.55,0.005,0.1184162163316356
0.51,0.15,0.1,1000,2.9762300940198845,2.9762300940198845,2.9660454478675717,1.0034337458178988,1.0,0.308,0.272,0.8831168831168831,0.5,0.15,0.12701567352597182
0.51,0.15,0.2,1000,5.113371213371904,17.717540227583513,5.418435304301829,0.9436988588407198,0.28860502912312647,0.928,0.839,0.9040948275862069,0.5,0.15,0.1560611924469597
0.934,0.005,0.005,1000,0.1739422711214854,0.1739422711214854,0.1696386398742354,1.0253694043434949,1.0,0.0,0.0,,,,
0.934,0.005,0.01,1000,0.3383575256927,0.3383575256927,0.33748165569332583,1.0025953114327792,1.0,0.001,0.001,1.0,0.9,0.005,0.1026525968981147
0.934,0.005,0.02,1000,0.6682641081842169,0.6686477396456988,0.6679046748344469,1.0005381506722633,0.9994262577456926,0.003,0.002,0.6666666666666666,0.95,0.15,0.11705144453105079
0.934,0.005,0.05,1000,1.618388146089393,1.619226271969461,1.619179736715301,0.9995111162720491,0.999482391130519,0.036,0.02,0.5555555555555556,0.95,0.09,0.11330247844779362
