activation_payload_id	payload_version	source_mode	strategy_label	chain_id	sample_index	H0_value	H0_basin_label	branch_label	sticking_score	separation_metric	transition_indicator	regime_label	z_axis	bao_axis	planck_axis	display_group	source_reference	claim_boundary
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	0	59.550000	low_H0	A	0.000970390	0.150000000	0.000941902	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	1	59.835714	low_H0	A	0.001635390	0.150000000	0.001139312	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	2	60.121429	low_H0	A	0.002700433	0.150000000	0.001378040	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	3	60.407143	low_H0	A	0.004369002	0.150000000	0.001666706	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	4	60.692857	low_H0	A	0.006925768	0.150000000	0.002015718	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	5	60.978571	low_H0	A	0.010756982	0.150000000	0.002437637	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	6	61.264286	low_H0	A	0.016370042	0.150000000	0.002947607	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	7	61.550000	low_H0	A	0.024408777	0.150000000	0.003563887	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	8	61.835714	low_H0	A	0.035659815	0.150000000	0.004308459	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
strategy_ab_activation_synthetic_proxy_payload_v1	v1	SYNTHETIC_PROXY	Strategy_A	pseudo_chain_A	9	62.121429	low_H0	A	0.051044504	0.150000000	0.005207776	regime_1				Strategy A/B synthetic proxy activation	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_STRATEGY_AB_PROXY_EMULATOR_ACTIVATION_SYNTHETIC_PROXY_RULE_REVIEW_FREEZE_V1_20260614_092028	diagnostic_proxy_emulator_only
