kind	name	parent	start_line	end_line	line_count	decorator_count	argument_count	source_sha256
function	dom_safe_json_box	<module>	25	39	15	0	2	dbc03fbe8a961fad16d29d1da4d94a913173ab5120e295a47a90d594b0ef5b1c
function	_dti_arrow_safe_df_v1	<module>	43	105	63	0	0	21270c46569bc26bf6e8747fa1ae92b03363a3549b63341bd53202fbaba8c8fd
function	_dti_arrow_safe_df_v1	<module>	109	131	23	0	1	a05104aed6425407b1979d31e26c9f898b8b5bcaeccca63db2ace31ffeadabf0
function	_dti_readme_text_v3_safe	<module>	146	158	13	0	0	8569ce22bb7312929a6a79de3179cd9f65d6a56bd58ee5ddad7c8bf9f64abefc
function	_dti_manual_pdf_bytes_v1	<module>	164	168	5	0	0	8e44f73b375565ba5e4dec65c8d91ea764044e86e5c39ec87dad06205cfa990c
function	_dti_render_manual_pdf_download_v1	<module>	170	178	9	0	0	3a49724781e3454105555bda004367aeea1ad08d5236a7f7237ac6d60311b681
function	_dti_render_readme_download_v3_safe	<module>	180	188	9	0	0	5e2b68a4279de9c86613fb66d7c3a8bea93c823340fae568cb7074dfc724b214
function	_dti_is_8011_unavailable_error_v3_safe	<module>	190	201	12	0	1	36936ffd51ccb97bb2adee64aef546f2169b93a1f9aa4bec2b2dfde4b05c2cb5
function	_dti_show_local_probe_error_v3_safe	<module>	203	211	9	0	1	4a580c3d0d88adff3fe5117e42bee3cab59ef315b6b01a2d93a22e43ca2b27ad
function	_dti_enable_gate_notice_7abc_v1	<module>	218	237	20	0	2	4a64d3a60db1257feb8e248b97351da7e514b21b13f12331a56bbe5c34dd1540
function	_dti_endpoint_base_url_v2	<module>	251	261	11	0	1	6d2af90bb909e7b19e13ae5d5fcee48ee767cc9aaf37eea564e90a4793109b43
function	_dti_warmup_urls_for_endpoint_v2	<module>	263	271	9	0	1	a856eb947d5de9ab80564122ce45c5dbf0f611680cc5c1b837eda8e1f35832a8
function	_dti_warmup_public_api_v2	<module>	273	295	23	0	2	dcab3db82100e406d78735f35ed09ced0614f09751119d5448186bdaad6f0029
function	_dti_cached_post_json_endpoint_v2	<module>	298	339	42	1	4	da462a4bdccc9ad12405749f61bbfd38cc72f1e0408245bd8bf635767245a548
function	_dti_post_json_endpoint_cached_or_uncached_v2	<module>	341	381	41	0	5	da9fa0c3a6b8639b69ab5b8f4c6434952a01fe58078397935e07fc9e6e1a243b
function	_dti_render_positive_answer_navigator_v2	<module>	397	495	99	0	0	8c471564e779492878205305e7715cc123d2414f9e9f7f6d7412d9454e24c8c3
function	_dti_render_research_motivation_layer_v1	<module>	509	589	81	0	0	9134bdf248c278784f13bba633252aa294dea989bbba9ca764f44155575aecd1
function	_dti_render_research_opportunity_engine_v1d	<module>	600	712	113	0	0	44c992b9270e28b5d94c39439a4a0996cf61068d838573101ca30eb875455d2f
function	_dti_discovery_score_level_v1e	<module>	724	737	14	0	1	d1696ad6422c4b094dc9629bcef2ada3803ca462203a44172c52bd09f538e897
function	_dti_render_discovery_score_panel_v1e	<module>	739	923	185	0	0	15345d6d2b17e7e776b1f882f976969cbf6fe426255e454826b9c05274d27b4a
function	_dti_parameter_quality_label_v1f	<module>	935	948	14	0	1	9ff84c9c8b18eaa6b3bc24c94ce3adbbfcb6a774caf2067c46ebff039b9465ec
function	_dti_parameter_quality_score_v1f	<module>	950	955	6	0	4	0a9c5ba92bd756b73f68dd7f4da973f5712722d269322e3a507b561986a8cba7
function	_dti_parameter_quality_style_v1f	<module>	957	969	13	0	1	b63a7010a27201d92bf537d8382606f55c271d59070a317d555727ec3a72dd3e
function	_dti_render_parameter_quality_matrix_v1f	<module>	971	1145	175	0	0	90902a7e68ec171db0d18f9474e0fbdd53d7659a3222c9342a24ec245461e754
function	_dti_pqm_v1g_session_value	<module>	1159	1196	38	0	2	74ff55f17bb68244e7e34106a1fb3a57d26d2bf7f40fdcd901ebd8225e93d658
function	_dti_pqm_v1g_quality_label	<module>	1198	1211	14	0	1	b6e82915774b3af5801b2846eae875bb7a967b468579a2af1b65344835c51a13
function	_dti_pqm_v1g_badge_text	<module>	1213	1221	9	0	1	9e55eaf8af817558d2c848bef462e88fcd186815707a842bde62ea817173e2c2
function	_dti_pqm_v1g_badge_html	<module>	1223	1237	15	0	1	354d24e2770b648a90a3afad182cea011491488b58d923cdb084d5c908606757
function	_dti_pqm_v1g_score	<module>	1239	1244	6	0	4	06d9d6ee5ec8e5927c265012208934a914bdc3b440c1841d649dfc73c25b65e8
function	_dti_pqm_v1g_styler	<module>	1246	1273	28	0	1	3bde63d42437b75c93a61b5dc06a63f63cfbd669a51f8f280b27dc3b93c393a2
function	style_row	_dti_pqm_v1g_styler	1247	1269	23	0	1	94f020b221b6c7ae4065de5d67914c48a119ea4c0a84d1740e6d1817e833f368
function	_dti_render_parameter_quality_matrix_v1g	<module>	1275	1511	237	0	0	e5b4ce1cf6068ed1c63d36d231b1e7da515bab3fcceddd0fd51be285babce688
function	_dti_parameter_quality_badge_v1g	<module>	1523	1536	14	0	1	9d5bebb8978c4b5204ddd1acca2eff728160d59b2918b137e5b2d33c3c6de48a
function	_dti_parameter_quality_badge_style_v1g	<module>	1538	1550	13	0	1	1ea8917fd929d805ecce3584a1d79a835b5677f50f870c872f0a65f03fc3accd
